Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1981-12-31 00:00:00-05:00,1.6292038840222636,1.6506972312927246,1.6077103998235924,1.6506972312927246,431705,0.0,0.0
1982-01-04 00:00:00-05:00,1.6506972312927246,1.659294679743477,1.6335024713194297,1.6506972312927246,329624,0.0,0.0
1982-01-05 00:00:00-05:00,1.633501701621313,1.642099146020991,1.6249043941497803,1.6249043941497803,383274,0.0,0.0
1982-01-06 00:00:00-05:00,1.6249044602907008,1.6335017681121826,1.616307152469219,1.6335017681121826,281819,0.0,0.0
1982-01-07 00:00:00-05:00,1.6249044602907008,1.6335017681121826,1.616307152469219,1.6335017681121826,168674,0.0,0.0
1982-01-08 00:00:00-05:00,1.6592937072532177,1.7022806504564767,1.6163069009780884,1.6163069009780884,158027,0.0,0.0
1982-01-11 00:00:00-05:00,1.6077098430387058,1.6249045970570832,1.581917643547058,1.581917643547058,284742,0.0,0.0
1982-01-12 00:00:00-05:00,1.5819170981630988,1.5905145406723025,1.5733196556538949,1.5905145406723022,242156,0.0,0.0
1982-01-13 00:00:00-05:00,1.5733200311660767,1.5905149202884745,1.556125415899975,1.5733200311660767,197482,0.0,0.0
1982-01-14 00:00:00-05:00,1.556125165534964,1.573319778034624,1.5389304161071777,1.5389304161071777,295806,0.0,0.0
1982-01-15 00:00:00-05:00,1.564721941947937,1.5819165471205696,1.5389297603328527,1.564721941947937,204580,0.0,0.0
1982-01-18 00:00:00-05:00,1.5647228604611738,1.5733200311660767,1.556125415899975,1.5733200311660767,239233,0.0,0.0
1982-01-19 00:00:00-05:00,1.5819170981630988,1.5991118462533906,1.564722487000922,1.5905145406723022,198317,0.0,0.0
1982-01-20 00:00:00-05:00,1.5905145406723025,1.5905145406723025,1.5819170981630988,1.5905145406723022,171805,0.0,0.0
1982-01-21 00:00:00-05:00,1.5733200311660767,1.5819174757272756,1.556125415899975,1.5733200311660767,182034,0.0,0.0
1982-01-22 00:00:00-05:00,1.556125165534964,1.573319778034624,1.5303329729292217,1.5389304161071777,458634,0.0,0.0
1982-01-25 00:00:00-05:00,1.5131387710571287,1.5303333882229728,1.4873465714520362,1.513138771057129,398931,0.0,0.0
1982-01-26 00:00:00-05:00,1.5131378838907383,1.5303324909752292,1.4959430029500818,1.5045404434204102,442560,0.0,0.0
1982-01-27 00:00:00-05:00,1.4959430029500818,1.5045404434204102,1.4873456994078365,1.5045404434204102,228795,0.0,0.0
1982-01-28 00:00:00-05:00,1.5389302964014262,1.5905145406723025,1.4873460521305502,1.5905145406723022,289126,0.0,0.0
1982-01-29 00:00:00-05:00,1.5647238825163352,1.59051595919065,1.538931668913783,1.5475289821624756,224411,0.0,0.0
1982-02-01 00:00:00-05:00,1.5303324909752292,1.547527234987803,1.5045404434204102,1.5045404434204102,198526,0.0,0.0
1982-02-02 00:00:00-05:00,1.5131378838907383,1.521735050504901,1.4959430029500818,1.5045404434204102,133812,0.0,0.0
1982-02-03 00:00:00-05:00,1.5045413255460436,1.5131387710571287,1.4959438800349583,1.513138771057129,108970,0.0,0.0
1982-02-04 00:00:00-05:00,1.5217359427118875,1.5303333882229728,1.5045413255460436,1.513138771057129,141536,0.0,0.0
1982-02-05 00:00:00-05:00,1.5217359427118875,1.5303333882229728,1.5045413255460436,1.513138771057129,154479,0.0,0.0
1982-02-08 00:00:00-05:00,1.5131380717426512,1.5217352394241284,1.4959431886672974,1.4959431886672974,184539,0.0,0.0
1982-02-09 00:00:00-05:00,1.4787489175796509,1.4873463618793237,1.4701514732799779,1.4787489175796509,265327,0.0,0.0
1982-02-10 00:00:00-05:00,1.4959430029500818,1.521735050504901,1.4701508184671797,1.5045404434204102,222741,0.0,0.0
1982-02-11 00:00:00-05:00,1.5045413255460436,1.5131387710571287,1.4873465714520362,1.513138771057129,277644,0.0,0.0
1982-02-12 00:00:00-05:00,1.4959438383037218,1.513138728846219,1.4787490846893838,1.4873465299606323,291839,0.0,0.0
1982-02-16 00:00:00-05:00,1.4787490846893838,1.4873465299606325,1.461554468003205,1.4873465299606323,239442,0.0,0.0
1982-02-17 00:00:00-05:00,1.4873463618793237,1.4959436692508528,1.4701514732799779,1.4787489175796509,153435,0.0,0.0
1982-02-18 00:00:00-05:00,1.4873465299606325,1.4873465299606325,1.4787490846893838,1.4873465299606323,127132,0.0,0.0
1982-02-19 00:00:00-05:00,1.4873465299606325,1.4959438383037218,1.4787490846893838,1.4873465299606323,223368,0.0,0.0
1982-02-22 00:00:00-05:00,1.4873464689732714,1.5045412218825533,1.4615544080734255,1.4615544080734253,205415,0.0,0.0
1982-02-23 00:00:00-05:00,1.4615547282990722,1.4701519012451172,1.4529572814966596,1.4701519012451172,179529,0.0,0.0
1982-02-24 00:00:00-05:00,1.4873465714520362,1.5131387710571287,1.461554508775107,1.513138771057129,266371,0.0,0.0
1982-02-25 00:00:00-05:00,1.5131378838907383,1.521735050504901,1.5045404434204102,1.5045404434204102,273469,0.0,0.0
1982-02-26 00:00:00-05:00,1.4959431886672974,1.5045406302049744,1.4873458840577203,1.4959431886672974,151765,0.0,0.0
1982-03-01 00:00:00-05:00,1.4873458840577203,1.4959431886672974,1.4787484425200434,1.4959431886672974,159280,0.0,0.0
1982-03-02 00:00:00-05:00,1.5045404434204102,1.521735050504901,1.4873456994078365,1.5045404434204102,276183,0.0,0.0
1982-03-03 00:00:00-05:00,1.4701515791358357,1.4873464689732714,1.4443595182359896,1.4615544080734253,438803,0.0,0.0
1982-03-04 00:00:00-05:00,1.4438389532927247,1.4704125993293986,1.4172651661785192,1.4261231422424316,372836,0.299394,0.0
1982-03-05 00:00:00-05:00,1.3995488949958792,1.417264557358452,1.3818329504783642,1.3906909227371216,503099,0.0,0.0
1982-03-08 00:00:00-05:00,1.3641172508656585,1.408406692298044,1.3198276683557912,1.3286856412887573,500385,0.0,0.0
1982-03-09 00:00:00-05:00,1.3641173756827962,1.4084068211676788,1.3198277891204186,1.3729753494262695,655699,0.0,0.0
1982-03-10 00:00:00-05:00,1.3906909159906955,1.4084065782673272,1.3729751126365934,1.399548888206482,376803,0.0,0.0
1982-03-11 00:00:00-05:00,1.399548888206482,1.4084065782673272,1.3906909159906955,1.399548888206482,264701,0.0,0.0
1982-03-12 00:00:00-05:00,1.3641173648314486,1.3906911447729835,1.3375437259674072,1.3375437259674072,467193,0.0,0.0
1982-03-15 00:00:00-05:00,1.3375442349665505,1.3552599068992375,1.3198282808787691,1.3464019298553467,684507,0.0,0.0
